DATA,1,ZŁ,,,
Dostarczenie wiadomości,W mieście.,,142,-414,-899
Kąpiel,W karczmie,,142,-414,-900
Kursy umiejętności,"Cena zależy od rodzaju, poziomu kursu i szkoły oraz nauczyciela.",,143,-415,-901
Lekarz,Patrz: Usługi zielarza.,,143,-415,-903
Łazienka oddzielna w pokoju,,,143,-416,-904
Morderca,"Jedno morderstwo, stosunkowo bezpieczna robota, nikt znaczący.",,143,-417,-905
Naprawa butów,"Mocno schodzone, ale możliwe do naprawienia.",,143,-417,-906
Naprawa dachu,"Cała strzecha, słomiana, ok. 10m2.",,144,-418,-908
Naprawa odzienia,"Mocno postrzępione, ale możliwe do naprawienia.",,144,-418,-909
Nocleg w karczmie,"Nie zawsze jest dostępny, +1 do +3 KON więcej niż zwykle. Oczywiście, wspólna izba.",,144,-419,-910
Nocleg w karczmie,W osobnym lub dwuosobowym pokoju /od osoby.,,144,-420,-912
Obróbka (sama) kruszców szl.,"Przeciętna robota, 10g. złota i mały diament, forma pierścionka.",,144,-420,-913
Oprawienie futra,1m. kwadratowy.,,145,-421,-914
Płaca za 1 dzień.,Przeciętna płaca.,,145,-421,-916
Płaca za 30 dni,"Przeciętna płaca, za którą człowiek może dosyć przyzwoicie wyżyć przez 30 dni.",,145,-422,-917
Podkucie konia,"Wraz z kupnem podkowy, solidna robota.",,145,-423,-918
Pokój w gospodzie kiepski,Dwuosobowy.,,145,-423,-919
Pokój w gospodzie zwykły,Dwuosobowy.,,146,-424,-921
Pokój w mieście kiepski,Dwuosobowy.,,146,-424,-922
Pokój w mieście zwykły,Dwuosobowy.,,146,-425,-923
Pranie,W pralni.,,146,-426,-925
Przefarbowanie skóry,1m. kwadratowy.,,146,-426,-926
Przewodnik,"Za jeden dzień, w mieście.",,147,-427,-927
Przewodnik,"Dobry, bystry przewodnik, na 1 dzień w trudnym, niebezpiecznym terenie.",,147,-427,-929
"Stajnia, siano i obrok dla konia",Za 1 dzień.,,147,-428,-930
Sygnet lub pieczęć,Wykonanie z drewna i metalu.,,147,-429,-931
Transport wodny,1 miejsce na łodzi na 1 dzień.,,147,-429,-932
Usługi bartnika,1litr miodu. Można u niego także zdobyć wosk pszczeli.,,148,-430,-934
Usługi bednarza,"(Wyrób naczyń z drewna, z klepek). Zbicie beczki 4-litrowej lub wiadra (10 litrów).",,148,-430,-935
Usługi dekarza,Patrz: Naprawa dachu.,,148,-431,-936
Usługi dymarza,Wytopienie żelaza z 1kg. rudy. Średnia jakość produktu.,,148,-432,-938
Usługi fryzjerskie,"Ogolenie, przycięcie włosów.",,148,-432,-939
Usługi garncarza,Utoczenie garnka glinianego 3-litrowego.,,149,-433,-940
Usługi kołodzieja,"(robi on wozy, zwłaszcza koła) Naprawa koła u wozu.",,149,-433,-942
Usługi kominiarza,Przeczyszczenie komina.,,149,-434,-943
Usługi kuśnierza,"(Futro, skóra). Uszycie futrzanej czapy. Bez kosztów materiału.",,149,-435,-944
Usługi płatnerza,"Patrz konkretny rodzaj usług: ""Wykucie..."".",,149,-435,-945
Usługi rymarza,(Skóra i skóropodobne materiały). Wyprawienie i wycięcie skóry jelenia na kamizelkę.,,150,-436,-947
Usługi snycerza,(Artystyczne rzeźbienie w drewnie lub kamieniu). Wykucie kamiennej statuetki.,,150,-436,-948
Usługi stolarza,Zbicie krzesła. Bez kosztów materiału.,,150,-437,-949
Usługi szewca,Patrz: Uszycie ubrania.,,150,-438,-951
Usługi szkutnika,"Za naprawę burt i dna, które są mocno nadwyrężone, 10m2.",,150,-438,-952
Usługi towarzyskie,"Nocne, nikt specjalny.",,151,-439,-953
Usługi zduna,(Wyrobnika i konserwatora pieców). Naprawa pieca.,,151,-439,-955
Usługi zielarza,Np. za złożenie złamania nogi i zioła leczące.,,151,-440,-956
Uszycie ubrania (od podstaw),"Bez kosztów materiału, robota finezyjna, trudna.",,151,-441,-957
Włamywacz,"Jedno włamanie, stosunkowo bezpieczna robota.",,151,-441,-958
Wstępne w Gildii Kupców,Mogą istnieć dodatkowe warunki.,,152,-442,-960
Wstępne w Gildii Wojowników,Mogą istnieć dodatkowe warunki.,,152,-442,-961
Wykucie folg,Para. Czas kucia: 20 dni. 10 pp.,,152,-443,-962
Wykucie hełmu,Bez zasłony twarzy. Czas kucia: 20 dni. 8 pp.,15920,152,-444,-964
Wykucie hełmu z siatką,Bez zasłony twarzy. Czas kucia: 35 dni. 10 pp.,,152,-444,-965
Wykucie miecza jednoręcznego,Czas kucia: 3 dni (choć dobry miecz może zabrać i 100 dni). Tu: zwykły miecz.,,153,-445,-966
Wykucie nagolennika,Czas kucia: 10 dni. 10 pp.,,153,-445,-968
Wykucie nakolannika,Czas kucia: 9 dni. 10 pp.,,153,-446,-969
Wykucie nałokcicy,Czas kucia: 8 dni. 10 pp.,,153,-447,-970
Wykucie napierśnika,"Duży, dopasowany (zasłania górną część brzucha) Czas kucia: 15 dni. 10 pp.",,153,-447,-971
Wykucie naramiennika,Czas kucia: 10 dni. 10 pp.,,154,-448,-973
Wykucie noża,Czas kucie: 2 dni (choć dziennie można zrobić kilka). Tu: zwykły nóż.,,154,-448,-974
Wykucie opachy,Czas kucia: 4 dni. 10 pp.,,154,-449,-975
Wykucie ostrza strzały,Czas kucia: 1 dzień (choć dziennie można zrobić nawet kilkadziesiąt). Tu: zwykłe ostrze.,,154,-450,-977
Wykucie pełnej zbroi,"Płytowa, z hełmem. Min. 220 dni kucia. 10 pp.",,154,-450,-978
Wykucie rękawic stalowych,Para. 8 pp. Czas kucia: 23 dni.,,155,-451,-979
Wykucie sztyletu,Czas kucia: 6 dni. Zwykły sztylet.,,155,-451,-981
Wykucie topora bojowego,"Czas kucia: 1 dzień (spiesząc się, dziennie można zrobić ze dwa; 30 dni.",,155,-452,-982
Wynagrodzenie,Patrz: Płaca za 30 dni lub za 1 dzień.,,155,-453,-983
Wynajem łodzi,Łódź żaglowo-wiosłowa o wyp. 20t i załodze 5 lub 15 os. Wynajem żaglowca z 5-os. Zał.,,155,-453,-984
Wynajem nauczyciela,"Od osoby za 5h nauczania na słabym poziomie, poza szkołą.",,156,-454,-986
Wynajem oddziału zbrojnego,"20 tęgich wojów z łukami, mieczami i toporami, na koniach. Oddział regularny.",,156,-454,-987
Wynajem służącego,"Jeden dzień służby, przeciętność. Bez zapewniania jedzenia itp.",,156,-455,-988
Wynajem wojownika,"Zwykły piechur z mieczem i tarczą, na 30 dni; bez zapewnienia wyżywienia.",,156,-456,-990
Wynajem wozu,"Na 1 dzień drogi. Duży, kryty wóz. Bez woźnicy (patrz: Wynajem woźnicy).",,156,-456,-991
Wynajem woźnicy,Na 1 dzień.,,157,-457,-992
Wynajęcie domu,"10 m2, w mieście, bez sprzętów, na 1 dzień, kiepska dzielnica i dom.",,157,-457,-994
Załatanie butów,"Mocno schodzone, ale możliwe do naprawienia.",,157,-458,-995
